team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CAR,2008,CAR,2008020037,CAR,DET,HOME,20081013,Team Level,other,0.09,0.1667,0.25,164,0.682,0.062,0.035,0.183,0.023,0.337,0.36,0.062,0.062,0.062,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,3,1,1,0,1,0,0,0.062,0,0,1,0,0,1,1,1,0,0.008,0,0,0.07,0.07,0.07,1.571,0.627,0.07,0.138,0.044,0.56,1.563,0.627,0.627,0.627,3,0,2,5,1,0,0,0,0,0,2,2,2,0,0,1,1,0,0,2,0,1,0.035,0,0.592,0,0,1,5,3,3,0,0.017,0,0,0.644,0.644,0.644
CAR,2008,CAR,2008020037,CAR,DET,HOME,20081013,Team Level,all,0.2826,0.4087,0.4286,3600,25.26,1.944,1.616,5.327,0.783,13.448,11.947,1.907,1.825,1.791,28,8,11,47,1,0,0,6,0,14,15,27,35,6,12,26,32,15,4,30,5,1,1.094,0.598,0.252,1,0,0,44.207,36,33.959,2,0.341,0,0,2.219,2.088,2.048,34.302,4.935,2.316,7.456,1.122,17.909,14.263,4.742,5.113,4.913,36,12,20,68,3,3,0,6,1,11,24,33,45,4,8,31,23,6,2,35,4,9,0.907,0.424,3.605,0,0,3,72.028,48,50.693,0,0.553,0.359,0.359,5.129,5.3,5.162
CAR,2008,CAR,2008020037,CAR,DET,HOME,20081013,Team Level,5on5,0.4565,0.4458,0.4746,2770,19.499,1.633,1.28,4.266,0.61,10.51,8.766,1.598,1.514,1.482,21,7,9,37,0,0,0,5,0,11,12,21,28,3,6,17,30,10,3,22,5,1,0.782,0.598,0.252,0,0,0,34.207,28,25.959,2,0.262,0,0,1.829,1.698,1.661,22.509,1.944,1.413,5.215,0.743,11.981,9.704,1.874,2.121,2.045,23,8,15,46,0,2,0,4,1,7,17,23,31,3,6,22,19,4,2,24,4,3,0.783,0.424,0.737,0,0,0,50.028,31,33.693,0,0.294,0.338,0.338,1.899,2.07,2.063
CAR,2008,CAR,2008020037,CAR,DET,HOME,20081013,Team Level,4on5,0.0429,0.15,0.1765,343,2.292,0.106,0.087,0.21,0.064,0.705,1.827,0.106,0.106,0.106,2,1,0,3,0,0,0,0,0,1,2,2,3,2,4,3,1,3,0,3,0,0,0.106,0,0,0,0,0,3,3,3,0,0.021,0,0,0.127,0.127,0.127,10.222,2.365,0.833,2.104,0.335,5.368,2.996,2.241,2.365,2.241,10,4,3,17,2,1,0,2,0,4,5,8,12,0,0,5,0,0,0,9,0,5,0.089,0,2.276,0,0,2,17,14,14,0,0.242,0.021,0.021,2.586,2.586,2.455
CAR,2008,CAR,2008020037,CAR,DET,HOME,20081013,Team Level,5on4,1,1,1,323,2.788,0.143,0.214,0.668,0.086,1.896,0.993,0.141,0.143,0.141,4,0,2,6,0,0,0,1,0,2,1,4,4,0,0,3,0,1,1,4,0,0,0.143,0,0,0,0,0,6,4,4,0,0.05,0,0,0.193,0.193,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,2008,CAR,2008020062,CAR,L.A,AWAY,20081017,Team Level,other,0.6946,0.4444,0.5,113,2.445,0.307,0.113,0.56,0.066,0.842,1.112,0.307,0.307,0.307,1,2,1,4,0,0,0,0,0,2,1,1,3,0,0,2,2,0,1,2,0,1,0.046,0,0.261,0,0,0,4,3,3,0,0.029,0,0,0.336,0.336,0.336,1.431,0.135,0.079,0.271,0.039,0.726,0.816,0.135,0.135,0.135,2,1,2,5,1,0,0,0,0,1,1,1,2,0,0,4,1,0,1,3,0,0,0.135,0,0,1,0,0,5,3,3,0,0.019,0,0,0.088,0.088,0.088
CAR,2008,CAR,2008020062,CAR,L.A,AWAY,20081017,Team Level,all,0.5401,0.5361,0.5256,3801,29.195,2.308,1.867,7.118,0.954,16.096,12.657,2.283,2.358,2.332,26,15,11,52,3,2,0,4,0,15,17,23,38,3,6,25,28,5,24,33,4,4,0.92,0.412,0.976,2,1,0,52.897,41,41.559,9,0.396,0.426,0.426,2.278,2.338,2.315,23.628,1.965,1.649,5.434,0.801,14.905,11.31,1.932,1.89,1.858,24,13,8,45,4,1,0,3,1,18,10,20,33,5,10,33,35,8,18,31,6,0,1.135,0.83,0,3,1,0,43.481,37,35.777,8,0.345,0.071,0.071,2.174,2.088,2.05
CAR,2008,CAR,2008020062,CAR,L.A,AWAY,20081017,Team Level,5on5,0.5406,0.5417,0.5238,2985,22.949,1.77,1.487,5.899,0.768,13.289,9.789,1.753,1.82,1.802,21,12,6,39,3,2,0,3,0,12,13,18,30,1,2,19,24,4,17,27,3,3,0.793,0.261,0.716,2,1,0,39.897,33,33.559,8,0.307,0.426,0.426,1.651,1.711,1.697,19.509,1.504,1.371,4.682,0.662,12.709,9.072,1.47,1.428,1.397,19,11,3,33,3,1,0,3,1,14,8,16,27,5,10,20,32,7,15,26,4,0,0.941,0.563,0,2,1,0,31.481,30,28.777,7,0.279,0.071,0.071,1.712,1.626,1.587
CAR,2008,CAR,2008020062,CAR,L.A,AWAY,20081017,Team Level,4on5,0.5788,0.2857,0.5,216,1.532,0.202,0.101,0.191,0.045,0.458,1.004,0.194,0.202,0.194,2,0,0,2,0,0,0,0,0,1,1,2,2,0,0,1,2,0,1,1,1,0,0.051,0.151,0,0,0,0,2,2,2,1,0.022,0,0,0.224,0.224,0.216,1.136,0.147,0.099,0.247,0.056,0.979,0.474,0.147,0.147,0.147,1,1,3,5,0,0,0,0,0,2,0,1,2,0,0,2,0,1,2,1,1,0,0.052,0.095,0,0,0,0,5,2,2,1,0.024,0,0,0.17,0.17,0.17
CAR,2008,CAR,2008020062,CAR,L.A,AWAY,20081017,Team Level,5on4,0.1388,0.7778,0.6,487,2.268,0.029,0.166,0.469,0.076,1.507,0.753,0.029,0.029,0.029,2,1,4,7,0,0,0,1,0,0,2,2,3,2,4,3,0,1,5,3,0,0,0.029,0,0,0,0,0,7,3,3,0,0.038,0,0,0.067,0.067,0.067,1.551,0.18,0.1,0.234,0.045,0.491,0.949,0.18,0.18,0.18,2,0,0,2,0,0,0,0,0,1,1,2,2,0,0,7,2,0,0,1,1,0,0.008,0.173,0,0,0,0,2,2,2,0,0.023,0,0,0.203,0.203,0.203
CAR,2008,CAR,2008020077,CAR,ANA,AWAY,20081019,Team Level,other,0.9894,0.5,0.5,113,0.846,0.931,0.008,0.006,0.005,0.026,0.024,0.921,0.931,0.921,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.931,0,0,1,1,1,1,0,0.002,0,0,0.933,0.933,0.923,0.3,0.01,0.068,0.143,0.05,0.405,0.324,0.01,0.01,0.01,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,1,1,1,0,0,0.01,0,0,0,0,0,1,1,1,0,0.017,0,0,0.027,0.027,0.027
CAR,2008,CAR,2008020077,CAR,ANA,AWAY,20081019,Team Level,all,0.4333,0.3519,0.3678,3600,23.239,2.189,1.438,4.742,0.682,12.917,10.032,2.163,2.268,2.241,24,8,6,38,3,1,0,6,0,11,11,21,29,5,13,24,12,8,7,24,7,1,0.442,0.815,0.931,2,0,1,39.929,32,33.61,4,0.307,0.097,0.097,2.399,2.488,2.458,35.148,2.863,2.34,7.93,1.221,22.604,17.107,2.825,2.682,2.646,33,22,15,70,1,1,0,6,0,23,24,32,54,5,13,31,25,8,14,46,7,2,1.638,0.774,0.452,1,0,0,65.872,55,51.454,4,0.494,0.238,0.238,3.054,2.87,2.837
CAR,2008,CAR,2008020077,CAR,ANA,AWAY,20081019,Team Level,5on5,0.3188,0.3333,0.3333,2689,16.899,1.105,0.962,3.627,0.516,9.07,7.721,1.089,1.184,1.167,17,6,4,27,2,1,0,5,0,8,7,15,21,4,11,18,10,6,7,17,6,0,0.396,0.709,0,2,0,0,28.929,23,24.61,4,0.196,0.097,0.097,1.203,1.293,1.273,29.381,2.361,1.832,6.489,0.99,18.538,14.855,2.34,2.18,2.161,28,18,8,54,1,1,0,5,0,16,23,27,45,4,11,21,22,6,11,38,6,2,1.273,0.636,0.452,1,0,0,49.872,46,42.454,4,0.371,0.238,0.238,2.429,2.245,2.233
CAR,2008,CAR,2008020077,CAR,ANA,AWAY,20081019,Team Level,4on5,0.1786,0.0667,0.1111,425,0.773,0.107,0.034,0.101,0.02,0.212,0.527,0.107,0.107,0.107,1,0,0,1,0,0,0,0,0,1,0,1,1,1,2,2,2,2,0,0,1,0,0,0.107,0,0,0,0,1,1,1,0,0.009,0,0,0.116,0.116,0.116,5.467,0.492,0.44,1.298,0.181,3.662,1.928,0.475,0.492,0.475,5,3,6,14,0,0,0,1,0,6,1,5,8,0,0,6,3,0,2,7,1,0,0.355,0.137,0,0,0,0,14,8,8,0,0.106,0,0,0.598,0.598,0.577
CAR,2008,CAR,2008020077,CAR,ANA,AWAY,20081019,Team Level,5on4,1,0.9,1,373,4.721,0.046,0.435,1.008,0.142,3.608,1.761,0.046,0.046,0.046,5,2,2,9,0,0,0,1,0,2,4,5,7,0,0,3,0,0,0,7,0,0,0.046,0,0,0,0,0,9,7,7,0,0.101,0,0,0.147,0.147,0.147,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CAR,2008,CAR,2008020094,CAR,PIT,AWAY,20081023,Team Level,other,0.1725,0.4,0.4,163,1.542,0.289,0.086,0.252,0.036,0.616,0.721,0.289,0.289,0.289,2,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,2,1,0,0,2,0,0,0.289,0,0,1,0,2,2,2,0,0.022,0,0,0.312,0.312,0.312,2.083,1.386,0.05,0.267,0.044,0.645,0.608,1.386,1.386,1.386,2,1,0,3,1,0,0,0,0,1,1,1,2,0,0,4,0,1,1,1,0,2,0.009,0,1.377,0,0,1,3,3,3,1,0.011,0,0,1.397,1.397,1.397
CAR,2008,CAR,2008020094,CAR,PIT,AWAY,20081023,Team Level,all,0.2485,0.4762,0.4342,3600,24.144,1.627,1.42,5.584,0.763,12.928,10.678,1.594,1.721,1.685,25,8,17,50,1,2,0,7,4,10,9,24,32,5,16,26,33,4,7,26,6,1,0.629,0.759,0.24,0,1,0,51.887,33,34.44,4,0.296,0.279,0.279,1.644,1.732,1.717,31.898,4.919,2.269,6.896,0.981,16.697,11.239,4.832,4.778,4.696,35,8,12,55,4,2,0,9,0,16,12,31,39,4,14,30,20,4,10,25,12,6,0.715,1.592,2.611,0,1,3,52.61,43,41.288,4,0.489,0.71,0.71,4.697,4.574,4.525
CAR,2008,CAR,2008020094,CAR,PIT,AWAY,20081023,Team Level,5on5,0.3172,0.5,0.4545,3174,21.895,1.327,1.266,5.217,0.708,11.772,9.71,1.294,1.421,1.385,22,8,16,46,0,2,0,7,3,10,8,22,30,5,16,24,28,3,6,25,4,1,0.618,0.469,0.24,0,0,0,47.887,30,31.44,3,0.258,0.279,0.279,1.306,1.393,1.38,26.871,2.857,1.84,5.992,0.808,14.554,9.949,2.803,2.717,2.667,29,7,10,46,2,1,0,8,0,14,11,27,34,4,14,23,20,3,8,24,10,2,0.706,1.381,0.771,0,1,1,43.61,36,34.288,2,0.381,0.459,0.459,2.779,2.656,2.616
CAR,2008,CAR,2008020094,CAR,PIT,AWAY,20081023,Team Level,4on5,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.944,0.676,0.379,0.637,0.129,1.497,0.682,0.643,0.676,0.643,4,0,2,6,1,1,0,1,0,1,0,3,3,0,0,2,0,0,0,0,2,2,0,0.212,0.464,0,0,1,6,4,4,0,0.097,0.251,0.251,0.522,0.522,0.511
CAR,2008,CAR,2008020094,CAR,PIT,AWAY,20081023,Team Level,5on4,1,1,1,120,0.707,0.011,0.067,0.116,0.02,0.54,0.247,0.011,0.011,0.011,1,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0.011,0,0,0,0,0,2,1,1,0,0.016,0,0,0.027,0.027,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CAR,2008,CAR,2008020108,CAR,NYI,AWAY,20081025,Team Level,other,0,0.1429,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.811,0.205,0.188,0.794,0.113,1.892,0.807,0.202,0.205,0.202,3,1,2,6,0,0,0,1,0,2,1,3,4,0,0,3,0,2,0,3,1,0,0.106,0.099,0,0,0,0,6,4,4,0,0.051,0,0.033,0.223,0.223,0.222
CAR,2008,CAR,2008020108,CAR,NYI,AWAY,20081025,Team Level,all,0.2997,0.3791,0.354,3600,28.559,2.141,2.202,6.145,0.934,15.195,13.383,2.089,2.342,2.285,28,12,18,58,4,3,1,4,0,11,18,24,36,9,21,31,25,7,6,31,6,3,0.646,0.711,0.784,0,1,3,62.911,40,43.282,4,0.478,0.453,0.453,2.166,2.352,2.313,50.164,5.003,3.747,11.754,1.927,28.352,22.217,4.75,4.745,4.502,60,13,22,95,3,5,0,12,3,24,26,57,70,4,11,20,16,9,7,52,15,6,1.57,1.895,1.538,2,1,0,89.084,73,68.449,4,0.827,0.987,1.225,4.605,4.39,4.215
CAR,2008,CAR,2008020108,CAR,NYI,AWAY,20081025,Team Level,5on5,0.3941,0.4112,0.375,1538,21.883,1.991,1.585,4.868,0.673,10.686,10.198,1.939,2.192,2.135,23,7,14,44,4,2,1,4,0,8,12,19,26,7,17,17,19,4,4,21,6,3,0.496,0.711,0.784,0,1,3,48.911,30,33.282,4,0.329,0.436,0.436,1.883,2.069,2.032,33.574,3.061,2.222,8.237,1.265,18.071,17.144,2.954,2.803,2.705,42,8,13,63,1,4,0,9,1,15,20,41,49,2,7,13,12,6,4,39,7,4,1.099,0.88,1.082,1,0,0,57.084,50,45.449,3,0.455,0.752,0.957,2.558,2.343,2.322
CAR,2008,CAR,2008020108,CAR,NYI,AWAY,20081025,Team Level,4on5,0.0466,0.0769,0.1,478,1.496,0.076,0.056,0.221,0.042,0.524,1.081,0.076,0.076,0.076,2,0,0,2,0,0,0,0,0,0,2,2,2,2,4,9,6,2,0,2,0,0,0.076,0,0,0,0,0,2,2,2,0,0.013,0,0,0.09,0.09,0.09,12.901,1.555,1.288,2.647,0.529,8.203,3.777,1.413,1.555,1.413,14,4,6,24,1,1,0,2,2,7,5,13,17,2,4,4,4,0,1,10,6,2,0.364,0.734,0.457,1,0,0,24,18,18,0,0.31,0.235,0.235,1.63,1.63,1.477
CAR,2008,CAR,2008020108,CAR,NYI,AWAY,20081025,Team Level,5on4,0.2902,0.8462,0.8889,294,5.18,0.074,0.561,1.056,0.219,3.985,2.105,0.073,0.074,0.073,3,5,3,11,0,1,0,0,0,3,4,3,8,0,0,2,0,1,2,8,0,0,0.074,0,0,0,0,0,11,8,8,0,0.136,0.017,0.017,0.193,0.193,0.192,0.878,0.181,0.049,0.076,0.02,0.185,0.489,0.181,0.181,0.181,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0.181,0,0,1,0,2,1,1,1,0.012,0,0,0.193,0.193,0.193
